date,tid,open,high,low,close,volume,mid,range,fac0,avg,s3,s7,s14,s21,s35,s49,s75,s100,s150,s200,s300,s400,s500,s600,s800,s1000,s1500,s2000,s3000,ma_close,ub,lb
2022-10-26/13:30:00,1,3019.0684,3019.7388,3003.423,3004.7358,2855700000,3011.5809,16.3158,-193.897509,198.057733,1734.785023,1135.683383,803.0494215,655.687107,507.8930491,429.2479714,346.9570046,300.47358,245.3356507,212.466906,173.4785023,150.23679,134.3758701,122.6678254,106.233453,95.01808895,77.58194475,67.18793503,54.85871923,3017.954169,142.539801,-230.83172
2022-10-26/11:30:00,1,3016.406,3020.7588,3011.5652,3018.5987,2206930400,3016.162,9.1936,-191.027641,279.960676,1742.788772,1140.923067,806.7544374,658.7122398,510.2363069,431.2283857,348.5577544,301.85987,246.4675518,213.447161,174.2788772,150.929935,134.9958378,123.2337759,106.7235805,95.45647234,77.93988329,67.4979189,55.11182,3018.413386,139.124749,-230.83172
2022-10-26/11:00:00,1,3014.8859,3028.3478,3012.9968,3016.566,3508591500,3020.6723,15.351,280.988958,356.989707,1741.615192,1140.154778,806.2111755,658.2686683,509.8927179,430.938,348.3230384,301.6566,246.3015825,213.3034274,174.1615192,150.8283,134.9049327,123.1507913,106.6517137,95.39219272,77.8873992,67.45246635,55.07470815,3018.772836,133.187111,-230.83172
2022-10-26/10:30:00,1,2991.9177,3015.0139,2991.9177,3014.6436,4035870900,3003.4658,23.0962,284.237711,333.568231,1740.505294,1139.42818,805.6973925,657.8491662,509.567773,430.6633714,348.1010588,301.46436,246.1446192,213.1674932,174.0505294,150.73218,134.8189604,123.0723096,106.5837466,95.3314011,77.83776305,67.40948018,55.03961009,3019.373214,126.374832,-230.83172
2022-10-26/10:00:00,1,2977.5643,2995.8097,2977.5643,2992.2719,6487884300,2986.687,18.2454,227.373883,228.080471,1727.588987,1130.972472,799.7183041,652.967261,505.7862655,427.4674143,345.5177974,299.22719,244.3179776,211.5855752,172.7588987,149.613595,133.8184675,122.1589888,105.7927876,94.62394583,77.26012824,66.90923376,54.63116059,3020.554071,121.565369,-230.83172
2022-10-25/15:00:00,1,2976.7561,2979.4009,2971.7449,2976.283,2705565500,2975.5729,7.656,-171.303089,55.96662,1718.357791,1124.929236,795.4450909,649.478197,503.0836481,425.1832857,343.6715582,297.6283,243.0124893,210.4549892,171.8357791,148.81415,133.1034222,121.5062447,105.2274946,94.11833241,76.84729662,66.55171108,54.33924455,3022.22285,121.102538,-230.83172
2022-10-25/14:30:00,1,2979.5401,2985.4281,2974.4552,2976.5449,1866306900,2979.94165,10.9729,159.076694,163.842704,1718.508999,1125.028225,795.5150866,649.5353483,503.1279173,425.2207,343.7017999,297.65449,243.0338734,210.4735083,171.8508999,148.827245,133.1151347,121.5169367,105.2367542,94.12661442,76.85405885,66.55756734,54.34402617,3024.050943,121.717046,-230.83172
2022-10-25/14:00:00,1,2981.4647,2985.667,2973.872,2979.5993,1699964200,2979.7695,11.795,-244.415746,99.025327,1720.272458,1126.182679,796.3314093,650.201873,503.6442052,425.6570429,344.0544916,297.95993,243.2832641,210.689487,172.0272458,148.979965,133.2517316,121.641632,105.3447435,94.22320303,76.93292312,66.62586581,54.39979163,3025.863546,121.66172,-230.83172
2022-10-25/13:30:00,1,3000.0283,3001.6423,2974.5782,2981.9233,2517190000,2988.11025,27.0641,344.008986,169.695012,1721.61422,1127.061069,796.9525244,650.7090114,504.0370329,425.9890429,344.322844,298.19233,243.4730179,210.8538186,172.161422,149.096165,133.355664,121.736509,105.4269093,94.29669436,76.99292854,66.67783202,54.44222187,3027.600006,121.571758,-230.83172
2022-10-25/11:30:00,1,2946.4495,3001.715,2946.4495,2999.5535,3072509900,2974.08225,55.2655,350.690567,-98.770967,1731.793021,1133.724658,801.6643936,654.5562364,507.0170806,428.5076429,346.3586041,299.95535,244.9125177,212.100462,173.1793021,149.977675,134.1441106,122.4562589,106.050231,94.85421024,77.44813834,67.07205528,54.76410381,3029.471022,139.259315,-230.83172
